Period,Inst_sector,Inst_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Values
2009.03,Pension funds,261,Financial assets Closing balance debt securities,LE00000,AFA0300,1700
2009.03,Pension funds,261,Financial assets Closing balance loans,LE00000,AFA0400,0
2009.03,Pension funds,261,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,16552
2009.03,Pension funds,261,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,10491
2009.03,Pension funds,261,Financial assets Closing balance financial derivatives,LE00000,AFA0700,0
2009.03,Pension funds,261,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,0
2009.03,Pension funds,261,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,29670
2009.03,Pension funds,261,Financial liabilities Closing balance monetary gold and special drawing rights,LE00000,AFL0100,0
2009.03,Pension funds,261,Financial liabilities Closing balance currency and deposits,LE00000,AFL0200,0
2009.03,Pension funds,261,Financial liabilities Closing balance debt securities,LE00000,AFL0300,0
2009.03,Pension funds,261,Financial liabilities Closing balance loans,LE00000,AFL0400,0
2009.03,Pension funds,261,Financial liabilities Closing balance equity and investment fund shares,LE00000,AFL0500,0
2009.03,Pension funds,261,"Financial liabilities Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFL0600,29670
2009.03,Pension funds,261,Financial liabilities Closing balance financial derivatives,LE00000,AFL0700,..
2009.03,Pension funds,261,Financial liabilities Closing balance other accounts payable,LE00000,AFL0800,..
2009.03,Pension funds,261,Capital Account Closing balances Total non-financial assets,LE00000,AN00000,126
2009.03,Pension funds,261,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,81
2009.03,Pension funds,261,Capital Account Closing balances Non-produced non-financial assets,LE00000,AN20000,45
2009.03,Pension funds,261,Closing balance net worth,LE00000,B900000,0
2009.03,Pension funds,261,Closing balance total liabilities and net worth,LE00000,L000000,29670
2009.03,Financial auxiliaries,270,Closing balance total assets,LE00000,A000000,7407
2009.03,Financial auxiliaries,270,Financial assets Closing balance Total financial assets,LE00000,AFA0000,5792
2009.03,Financial auxiliaries,270,Financial assets Closing balance monetary gold and special drawing rights,LE00000,AFA0100,0
2009.03,Financial auxiliaries,270,Financial assets Closing balance currency and deposits,LE00000,AFA0200,C
2009.03,Financial auxiliaries,270,Financial assets Closing balance debt securities,LE00000,AFA0300,C
2009.03,Financial auxiliaries,270,Financial assets Closing balance loans,LE00000,AFA0400,C
2009.03,Financial auxiliaries,270,Financial assets Closing balance equity and investment fund shares,LE00000,AFA0500,1261
2009.03,Financial auxiliaries,270,"Financial assets Closing balance insurance, pension, and standardised guarantee schemes",LE00000,AFA0600,..
2009.03,Financial auxiliaries,270,Financial assets Closing balance financial derivatives,LE00000,AFA0700,23
2009.03,Financial auxiliaries,270,Financial assets Closing balance other accounts receivable,LE00000,AFA0800,1283
2009.03,Financial auxiliaries,270,Financial liabilities Closing balance Total financial liabilities,LE00000,AFL0000,7407
